Physical Nodes,MPI procs,OMP threads/node,Iterations,,,,,,,,,,,,
"## Kevin: this file holds the raw data of the GROMACS measurements, for parsing with an external tool.",,,,,,,,,,,,,,,
"## 3 columns with nodes/procs/threads properties, then multiple Iterations results",,,,,,,,,,,,,,,
## columns starting with '# ' define 1/ the experiment name 2/ the experiment properties in the following columns. These properties apply to the following rows until a new experiment is found,,,,,,,,,,,,,,,
"## columns startring with '##' are comments, so ignored for the parsing",,,,,,,,,,,,,,,
# BM,platform: bm,problem-size: 1536k,,,,,,,,,,,,,
1,1,4,0.569,0.57,0.57,0.57,0.569,,,,,,,,
2,2,4,1.035,1.034,1.035,1.034,1.036,,,,,,,,
4,4,4,1.998,1.997,1.994,1.988,1.987,,,,,,,,
6,6,4,2.898,2.751,2.889,2.892,2.885,,,,,,,,
8,8,4,3.734,3.74,3.729,3.735,3.733,,,,,,,,
12,12,4,,,,,,,,,,,,,
16,16,4,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# OCP-Multus-no-infra-nodes,platform: ocp,network: multus,isolated-infra: no,problem-size: 1536k,,,,,,,,,,,
1,1,4,0.541,0.541,0.545,0.538,0.537,,,,,,,,
2,2,4,0.953,0.946,0.963,0.943,0.948,,,,,,,,
4,4,4,1.619,1.595,1.591,1.642,1.648,,,,,,,,
6,6,4,2.394,2.47,2.468,2.467,2.467,,,,,,,,
8,8,4,3.005,2.944,2.971,2.946,3.018,,,,,,,,
12,12,4,4.494,4.497,4.5,4.491,4.523,,,,,,,,
16,16,4,5.115,5.101,5.129,5.134,5.118,5.144,5.124,5.143,,,,,
20,20,4,4.763,5.425,3.648,4.721,5.553,4.62,4.098,4.408,,,,,
24,24,4,3.624,5.788,5.009,4.811,5.364,5.404,3.879,5.41,5.494,4.57,,,
28,28,4,4.727,4.133,4.803,5.293,5.198,,,,,,,,
32,32,4,7.79,6.323,6.953,6.59,6.481,,,,,,,,
,,,,,,,,,,,,,,,
#OCP-SDN-isolated infra,platform: ocp,network: sdn,isolated-infra: yes,problem-size: 1536k,,,,,,,,,,,
1,1,4,0.571,0.572,0.571,0.572,0.572,,,,,,,,
2,2,4,0.93,0.93,0.948,0.922,0.926,,,,,,,,
4,4,4,0.407,0.439,0.429,0.436,0.419,,,,,,,,
6,6,4,0.494,0.497,0.492,0.492,0.479,,,,,,,,
8,8,4,0.475,0.475,0.47,0.468,0.47,,,,,,,,
12,12,4,,,,,,,,,,,,,
16,16,4,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# OCP-hostNet-isolated infra,platform: ocp,network: hostNet,isolated-infra: yes,problem-size: 1536k,,,,,,,,,,,
1,1,4,0.573,0.573,0.572,0.573,0.573,,,,,,,,
2,2,4,0.997,1.002,0.992,0.999,0.999,,,,,,,,
4,4,4,1.846,1.864,1.863,1.843,1.857,,,,,,,,
6,6,4,2.649,2.654,2.651,2.641,2.623,,,,,,,,
8,8,4,3.381,3.379,3.38,3.373,3.399,,,,,,,,
12,12,4,4.537,4.539,4.55,4.528,4.561,,,,,,,,
16,16,4,5.143,5.115,5,5.129,5.082,,,,,,,,
20,20,4,5.964,5.999,6.022,5.684,4.35,6.116,,,,,,,
24,24,4,7.053,5.897,5.605,6.045,5.866,,,,,,,,
28,28,4,5.728,6.422,6.982,7.294,7.432,6.352,5.591,7.209,6.717,7.034,,,
32,32,4,6.477,6.444,6.493,5.037,7.048,6.386,7.005,6.314,7.388,7.968,,,
,,,,,,,,,,,,,,,
# OCP-Multus-isolated infra,platform: ocp,network: multus,isolated-infra: yes,problem-size: 1536k,,,,,,,,,,,
1,1,4,0.573,0.572,0.573,,,,,,,,,,
2,2,4,1.002,1.003,1.007,1.011,0.985,,,,,,,,
4,4,4,1.862,1.866,1.842,1.87,1.851,,,,,,,,
6,6,4,2.657,2.691,2.692,2.685,2.691,,,,,,,,
8,8,4,3.443,3.45,3.446,3.448,3.432,,,,,,,,
12,12,4,4.647,4.609,4.624,4.605,4.623,,,,,,,,
16,16,4,5.193,5.182,5.212,5.184,5.203,,,,,,,,
20,20,4,4.593,5.964,6.144,6.185,5.777,6.196,5.852,4.593,3.983,5.098,5.486,,
24,24,4,6.322,7.034,7.138,5.336,6.691,4.059,5.114,6.054,5.45,,,,
28,28,4,7.551,6.475,6.12,6.588,6.728,5.758,5.556,5.638,5.199,,,,
32,32,4,7.784,6.278,6.294,7.08,7.4,7.482,5.593,6.675,7.025,6.387,8.171,7.734,6.903